name,type,value,date
胡德,Andriod,23140,2018-07-27
俾斯麦,Andriod,23047,2018-07-27
列克星敦,iOS,19534,2018-07-27
皇家方舟,iOS,18632,2018-07-27
昆西,Andriod,18559,2018-07-27
欧根亲王,iOS,18105,2018-07-27
声望,Andriod,17608,2018-07-27
萨拉托加,Andriod,17248,2018-07-27
空想,Andriod,17102,2018-07-27
海伦娜,Andriod,16174,2018-07-27
纳尔逊,Andriod,16044,2018-07-27
黎赛留,Andriod,15531,2018-07-27
贝尔法斯特,Andriod,14814,2018-07-27
提尔比茨,iOS,14461,2018-07-27
突击者,Andriod,13957,2018-07-27
埃塞克斯,Andriod,23440,2018-07-28
胡德,Andriod,23175,2018-07-28
俾斯麦,Andriod,23047,2018-07-28
列克星敦,iOS,19538,2018-07-28
皇家方舟,iOS,18644,2018-07-28
昆西,Andriod,18573,2018-07-28
欧根亲王,iOS,18105,2018-07-28
声望,Andriod,17620,2018-07-28
萨拉托加,Andriod,17256,2018-07-28
空想,Andriod,17195,2018-07-28
海伦娜,Andriod,16174,2018-07-28
纳尔逊,Andriod,16130,2018-07-28
黎赛留,Andriod,15550,2018-07-28
贝尔法斯特,Andriod,14818,2018-07-28
提尔比茨,iOS,14491,2018-07-28
突击者,Andriod,13989,2018-07-28
罗德尼,iOS,13617,2018-07-28
埃塞克斯,Andriod,23463,2018-07-29
胡德,Andriod,23199,2018-07-29
俾斯麦,Andriod,23047,2018-07-29
列克星敦,iOS,19548,2018-07-29
皇家方舟,iOS,18651,2018-07-29
昆西,Andriod,18573,2018-07-29
欧根亲王,iOS,18136,2018-07-29
声望,Andriod,17625,2018-07-29
萨拉托加,Andriod,17270,2018-07-29
空想,Andriod,17246,2018-07-29
海伦娜,Andriod,16192,2018-07-29
纳尔逊,Andriod,16143,2018-07-29
黎赛留,Andriod,15562,2018-07-29
贝尔法斯特,Andriod,14835,2018-07-29
提尔比茨,iOS,14500,2018-07-29
突击者,Andriod,14029,2018-07-29
罗德尼,iOS,13665,2018-07-29
大青花鱼,iOS,13070,2018-07-29
埃塞克斯,Andriod,23472,2018-07-30
胡德,Andriod,23284,2018-07-30
俾斯麦,Andriod,23047,2018-07-30
列克星敦,iOS,19647,2018-07-30
皇家方舟,iOS,18683,2018-07-30
昆西,Andriod,18618,2018-07-30
欧根亲王,iOS,18152,2018-07-30
声望,Andriod,17630,2018-07-30
萨拉托加,Andriod,17279,2018-07-30
空想,Andriod,17246,2018-07-30
海伦娜,Andriod,16201,2018-07-30
纳尔逊,Andriod,16182,2018-07-30
黎赛留,Andriod,15586,2018-07-30
贝尔法斯特,Andriod,14842,2018-07-30
提尔比茨,iOS,14512,2018-07-30
突击者,Andriod,14030,2018-07-30
罗德尼,iOS,13675,2018-07-30
大青花鱼,iOS,13080,2018-07-30
长春,Andriod,12832,2018-07-30
胡德,Andriod,20820,2018-07-31
埃塞克斯,Andriod,20628,2018-07-31
俾斯麦,Andriod,19909,2018-07-31
皇家方舟,iOS,16873,2018-07-31
列克星敦,iOS,16623,2018-07-31
昆西,Andriod,16588,2018-07-31
